ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYYZ,EDDM,2,A333,7,15.66,82.63,-53.74,139.41,-0.01,0.19,-0.21,0.26,-90.79,1149.53,-1272.5,1596.55
CYYZ,EDDM,2,A359,8,10.28,30.43,-32.48,46.26,0.07,0.2,-0.19,0.32,382.09,1150.38,-1103.88,1827.31
CYYZ,EGKK,0,A21N,14,21.36,72.29,-39.88,147.81,0.24,0.29,-0.13,0.73,595.69,720.45,-315.04,1832.9
CYYZ,EGKK,0,A332,3,22.27,56.89,-26.63,75.34,0.17,0.25,-0.05,0.4,1043.87,1483.68,-277.5,2392.44
CYYZ,EGKK,0,A333,8,26.95,36.51,-11.35,79.88,0.14,0.23,-0.14,0.38,844.49,1435.54,-856.93,2335.02
CYYZ,EGKK,1,A21N,8,6.98,46.17,-25.86,82.53,0.11,0.38,-0.28,0.56,263.96,958.09,-700.14,1397.42
CYYZ,EGKK,1,A333,6,19.48,31.61,-4.65,66.28,0.11,0.33,-0.3,0.48,694.35,2060.06,-1862.17,3001.42
CYYZ,EGKK,2,A21N,10,21.19,33.23,-10.06,74.27,0.18,0.3,-0.19,0.66,456.12,757.46,-471.72,1654.45
CYYZ,EGKK,2,A333,8,21.55,24.16,-7.66,53.18,0.18,0.22,-0.02,0.53,1090.38,1383.84,-141.17,3276.2
CYYZ,EGLL,0,A333,3,21.1,31.62,-9.26,46.63,0.31,0.17,0.19,0.48,1936.97,1069.55,1164.58,2987.44
CYYZ,EGLL,0,B772,1,-3.1,,-3.1,-3.1,0.23,,0.23,0.23,1519.8,,1519.8,1519.8
CYYZ,EGLL,0,B77L,1,45.7,,45.7,45.7,0.46,,0.46,0.46,3601.0,,3601.0,3601.0
CYYZ,EGLL,0,B77W,3,27.77,39.6,-7.99,63.29,0.31,0.31,-0.0,0.51,2384.0,2422.3,-5.7,3956.73
