ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LEPA,EDLV,1,30,-18.24,16.18,-45.62,-5.8,0.0,0.05,-0.06,0.06,0.65,124.59,-131.1,134.7
LEPA,EDLW,0,39,-14.27,13.57,-38.75,3.39,0.01,0.06,-0.08,0.09,23.34,147.01,-190.85,217.54
LEPA,EDLW,1,38,-13.65,10.35,-29.41,1.8,-0.08,0.06,-0.16,0.01,-189.88,147.97,-412.21,31.04
LEPA,EDSB,0,106,3.25,17.01,-20.52,26.48,-0.02,0.07,-0.13,0.09,-54.84,175.25,-332.45,211.48
LEPA,EGAA,0,85,12.44,8.67,1.32,26.26,0.02,0.05,-0.08,0.1,36.2,125.82,-196.66,227.44
LEPA,EGBB,0,60,-7.56,18.32,-28.02,12.87,-0.04,0.08,-0.15,0.07,-106.72,194.9,-388.78,167.92
LEPA,EGBB,1,63,-6.62,19.79,-41.11,20.77,-0.05,0.09,-0.2,0.1,-141.09,248.2,-536.14,221.58
LEPA,EGBB,2,38,-14.96,16.16,-43.56,10.38,-0.04,0.07,-0.15,0.07,-87.24,162.41,-345.97,172.34
LEPA,EGCC,0,91,7.39,12.63,-12.9,25.2,0.01,0.07,-0.1,0.16,27.01,250.94,-322.2,500.75
LEPA,EGCC,1,184,12.45,11.8,-0.76,29.39,0.01,0.08,-0.11,0.14,53.45,251.68,-312.6,439.94
LEPA,EGGD,0,51,5.29,16.13,-18.1,30.35,-0.01,0.07,-0.1,0.08,-30.76,158.95,-250.0,175.65
LEPA,EGGD,1,124,17.68,12.5,-5.42,32.32,0.01,0.07,-0.1,0.12,21.42,161.15,-238.75,280.0
LEPA,EGGP,0,30,0.91,11.49,-16.31,19.43,0.01,0.06,-0.08,0.11,34.34,147.69,-183.49,261.01
LEPA,EGGP,1,42,8.5,7.53,1.11,22.75,0.03,0.06,-0.07,0.12,61.5,146.88,-178.51,306.47
LEPA,EGGW,0,140,-50.93,24.17,-80.4,-4.66,-0.14,0.11,-0.3,0.05,-317.6,249.49,-684.6,101.29
LEPA,EGHH,0,15,1.97,10.77,-13.65,16.64,-0.04,0.04,-0.09,0.03,-84.99,91.62,-214.5,60.89
LEPA,EGHH,1,37,0.03,6.8,-8.04,12.48,-0.03,0.09,-0.11,0.03,-62.83,208.41,-252.5,78.64
LEPA,EGKK,0,63,4.61,19.42,-27.36,38.64,0.1,0.12,-0.09,0.3,247.52,288.86,-210.32,747.92
LEPA,EGKK,1,130,11.37,13.21,-6.5,26.9,0.12,0.15,-0.06,0.41,279.95,363.65,-151.01,950.3
LEPA,EGKK,2,31,-7.81,13.24,-24.75,17.5,0.11,0.14,-0.04,0.36,301.97,440.51,-82.75,1039.1
